Canon,Contributor,Title,Roth year,Roth page,Publication statement,Physical description / ideal copy,Edition / issue note,Collector flags,Search tier,Evidence confidence,Parr/Badger overlap,PB volumes,PB page / refs,PB confidence,Source
Roth 101,Max Ernst and René Crevel,Mr. Knife Miss Fork,1931,66,"Paris: The Black Sun Press, 1931.","8vo.; 19 original black-and-white photograms, protected by printed tissue guards; black endpapers; black cloth, elaborately stamped in gilt, red, and blue; black cloth slipcase, stamped in gilt.","50 numbered copies signed by Crevel on the title page and Ernst on the frontispiece; on Hollande paper; five copies each with four original drawings. The trade edition, 200 copies of which were printed on Bristol paper, is also pictured.","signed; numbered; slipcase",CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Helmar Lerski,Köpfe des Alltags,1931,68,"Berlin: Verlag Hermann Reckendorf G.m.b.H., (1931).","4to.; black-and-white photographs; spiral bound; black cloth wrapper; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 121,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Moi Ver,Paris,1931,70,"Paris: Editions Jeanne Walter, 1931.","4to.; black-and-white photographs; photographically illustrated wrappers.","1,000 copies, the entire edition.",,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Erich Salomon,Berühmte Zeitgenossen,1931,74,"Stuttgart: J. Engelhorns Nachf, (1931).","8vo.; black-and-white photographs; blue cloth, stamped in gilt; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 122-3,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Brassaï and Paul Morand,Paris de Nuit,1933,76,"Paris: Edition Arts et Métiers Graphiques, 1933.","4to.; gravure plates; photographically illustrated flexible boards; spiral bound.",,,CORE,Very high,Yes,1,V1: 134,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Doris Ullman and Julia Peterkin,"Roll, Jordan, Roll",1933,78,"New York: Robert O. Ballou, Publisher, (1933).","4to.; 90 hand-pulled gravure plates, protected by tissue guards; one additional plate laid in; top edge gilt; brown paper-covered boards, white cloth spine and tips; debossed image of an African-American woman on upper panel; slipcase.","Deluxe edition; 350 copies the entire edition; signed by Peterkin and Ullman.","signed; slipcase; laid in; deluxe",CORE,Very high,Yes,1,V1: 136-7,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Man Ray,Man Ray Photographies 1920-1934 Paris,1934,80,"Hartford, Connecticut/Paris: James Thrall Soby, Cahiers d’Art, (1934).","4to.; gravure plates; color photographically illustrated stiff wrappers; white plastic binding strip.","First edition; one of an unknown number of copies purportedly recalled by the publisher, who attempted to generate demand where none existed by suggesting the edition had sold out. After replacing the title pages of these copies — presumably a healthy percentage of the run, whose sales had, in fact, been slow to none — with one stating “deuxiéme édition,” second edition, he returned them for sale. Copies with the original title page are exceedingly rare.","first edition; second edition",CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,El Lissitzky,Industriia sotsializma,1935,82,"(Moscow: Stroim, 1935).","7 vols., 4to.; gravure plates; an abundance of fold-outs, gate-folds, and accordion folds, collages, and cut-outs; printed on a variety of paper types; six separately bound books in wrappers, each numbered one to six and with its own photographic images and embossed designs on the cover; one folder, labeled “seven” with a fold-out map laid in; photographically illustrated canvas slipcase.",,"numbered; slipcase; laid in",CORE,Very high,Yes,1,V1: 162-3,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Man Ray and Paul Eluard,Facile,1935,86,"(Paris: Editions G.L.M., 1935.)","Small 4to.; gravure plates; unbound signatures; black-and-white photographically illustrated wrappers.","Trade issue, |,200 copies. Twenty-five copies, each with an original photograph, were also issued.","original photograph; trade issue",CORE,Very high,Yes,1,V1: 103-5,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Hans Bellmer,La Poupée,1936,88,"Paris: G.L.M. [Guy Levis-Mano], 1936.","8vo.; rose text paper and endpapers; ten black-and-white silver prints, each 4 */e x 3 inches, mounted on board, bound-in; tan printed dust jacket, flaps glued to plain boards.","100 copies, the entire edition.",dust jacket,CORE,Very high,Yes,1,V1: 106,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Bill Brandt,The English At Home,1936,90,"London: Batsford, 1936.","Small 4to.; gravure plates; photographic endpapers, each with a double-page image; photographically illustrated laminated boards; glassine dust jacket.",,"dust jacket; glassine",CORE,Very high,Yes,1,V1: 138,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
