Record ID,Contributor,Contributor aliases,Title,Title aliases,Year,Publisher,ISBN,Canon sources,Collectibility tier,Search priority,First edition notes,Strong buy GBP,Bargain GBP,Evidence confidence,Source,Search tier
openlibrary:OL21150932W,Jerry Berndt,Maik Schluter,Beautiful America,,2017,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21150932W,BROAD
openlibrary:OL33108522W,Jerry Berndt,Felix Hoffmann | Maik Schlüter,Jerry Berndt,,2008,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL33108522W,BROAD
openlibrary:OL32214151W,Jerry Spagnoli,,American dreaming,,2012,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL32214151W,BROAD
openlibrary:OL9042369W,Jerry Spagnoli,,Jerry Spagnoli,,2006,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL9042369W,BROAD
openlibrary:OL2983234W,Jerry Uelsmann,,Jerry N. Uelsmann,,1970,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL2983234W,BROAD
openlibrary:OL31790057W,Jess T. Dugan,,Look at me like you love me,,2022,MACK,,Specialist photography publisher backlist: MACK,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL31790057W,BROAD
openlibrary:OL624875W,Jim Dine,,Birds,,2001,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL624875W,BROAD
openlibrary:OL624918W,Jim Dine,,Jim Dine,,1963,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL624918W,BROAD
openlibrary:OL21088389W,Jim Dine,Gabriele Conrath-Scholl,Jim Dine - My Tools,,2015,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21088389W,BROAD
openlibrary:OL624899W,Jim Dine,Andy Grundberg | Jean-Luc Monterosso,"The photographs, so far",,2003,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL624899W,BROAD
openlibrary:OL624904W,Jim Dine,,This goofy life of constant mourning,,2004,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL624904W,BROAD
openlibrary:OL17469017W,Jim Dine,,This Is How I Remember Now Portraits Photographs,,2008,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL17469017W,BROAD
openlibrary:OL19099026W,Jim Goldberg,,Jim Goldberg: Open See,,2009,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL19099026W,BROAD
openlibrary:OL19988890W,Jim Goldberg,,Rich and poor,,2013,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL19988890W,BROAD
openlibrary:OL19716894W,Jim Jocoy,,Jim Jocoy,,2017,TBW Books,,Specialist photography publisher backlist: TBW Books,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL19716894W,BROAD
openlibrary:OL37836960W,Jim Mangan,Roman Bateman | Judith Freeman,Crick,,2024,Twin Palms,,Specialist photography publisher backlist: Twin Palms,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL37836960W,BROAD
openlibrary:OL20450731W,Jim Perrin,James Morris,A Landscape of Wales,,2010,Dewi Lewis,,Specialist photography publisher backlist: Dewi Lewis,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL20450731W,BROAD
openlibrary:OL15057370W,Jimmy Carter,,Empower Zone,,2000,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL15057370W,BROAD
openlibrary:OL20016373W,Jimmy De Sana,,Jimmy DeSana,,2015,Aperture,,Specialist photography publisher backlist: Aperture,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL20016373W,BROAD
openlibrary:OL35721334W,Jin-me Yoon,Andrea Kunard | Ming Tiampo,Jin-Me Yoon,,2023,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL35721334W,BROAD
openlibrary:OL25052469W,Jitka Hanzlová,Ulf Erdmann Ziegler,Cotton Rose,,2017,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL25052469W,BROAD
